key,description,en,ru,es,it,de,nl,fr,pl
rate_us_second_hint,Rate us view,"Tell us what you dont like
in the application","Расскажите что вам не нравится
в приложении","Cuéntanos qué no te gusta
en la aplicación","Dicci cosa non ti piace
nell'applicazione","Teilen Sie uns in der Bewerbung mit, was Ihnen nicht gefällt
","Vertel ons wat je niet leuk vindt
in de applicatie","Dites-nous ce que vous n'aimez pas
dans l'application","Powiedz nam, co Ci się nie podoba
w aplikacji"
rate_us_second_error,Rate us view,Too short review,Слишком короткий отзыв,reseña demasiado corta,Recensione troppo breve,Zu kurze Rezension,Te korte recensie,Revue trop courte,Zbyt krótka recenzja
rate_us_second_button,Rate us view,Send,Отправить,enviar,Invia,Senden,Verzenden,Envoyer,Wyślij
rate_us_third_title,Rate us view,Thanks for the review,Спасибо за отзыв,Gracias por la reseña,Grazie per la recensione,Vielen Dank für die Bewertung,Bedankt voor de recensie,Merci pour la revue,Dziękujemy za recenzję
rate_us_third_description,Rate us view,"We always take into account your wishes
in new versions","Мы всегда учитываем ваши
пожелания в новых версиях","Siempre tenemos en cuenta tus deseos
en nuevas versiones","Teniamo sempre conto dei tuoi desideri
nelle nuove versioni","Bei neuen Versionen berücksichtigen wir stets Ihre Wünsche
","Bij nieuwe versies houden wij altijd rekening met uw wensen
","Nous prenons toujours en compte vos souhaits
dans les nouvelles versions","Zawsze uwzględniamy Twoje życzenia
w nowych wersjach"
rate_us_third_button,Rate us view,Ok,Здорово,Ok,Ok,Ok,Oké,D'accord,OK
welcome_activity_privacy_title,Privacy policy,Your anonymity matters!,Ваша анонимность важна!,¡Tu anonimato importa!,Il tuo anonimato è importante!,Ihre Anonymität zählt!,Uw anonimiteit is belangrijk!,Votre anonymat compte !,Twoja anonimowość ma znaczenie!
welcome_activity_privacy_continue,Privacy policy,Agree and continue,Согласиться и продолжить,Aceptar y continuar,Accetta e continua,Zustimmen und fortfahren,Akkoord en doorgaan,Accepter et continuer,Zgadzam się i kontynuuj
welcome_activity_privacy1,Privacy policy,"We collect only the minimum necessary data to ensure a stable VPN connection and maintain a high standard of quality, such as:","Мы собираем только минимально необходимый набор данных, для обеспечения стабильного VPN подключения и поддержки высокого стандарта качества, например:","Recopilamos solo los datos mínimos necesarios para garantizar una conexión VPN estable y mantener un alto estándar de calidad, como por ejemplo:","Raccogliamo solo i dati minimi necessari per garantire una connessione VPN stabile e mantenere un elevato standard di qualità, come ad esempio:","Wir erfassen nur die minimal notwendigen Daten, um eine stabile VPN-Verbindung zu gewährleisten und einen hohen Qualitätsstandard aufrechtzuerhalten, wie zum Beispiel:","We verzamelen alleen de minimaal noodzakelijke gegevens om een stabiele VPN-verbinding te garanderen en een hoge kwaliteitsstandaard te handhaven, zoals:","Nous collectons uniquement le minimum de données nécessaires pour garantir une connexion VPN stable et maintenir un haut niveau de qualité, telles que :","Zbieramy tylko minimum niezbędnych danych, aby zapewnić stabilne połączenie VPN i zachować wysoki standard jakości, takie jak:"
welcome_activity_privacy2,Privacy policy,"Device information, such as OS version, device model to optimize network connection;","Информация об устройстве, такая как версия ОС, модель устройства для оптимизации сетевого подключения;","Información del dispositivo, como la versión del sistema operativo, el modelo del dispositivo para optimizar la conexión de red;","Informazioni sul dispositivo, come versione del sistema operativo, modello del dispositivo per ottimizzare la connessione di rete;","Geräteinformationen wie Betriebssystemversion, Gerätemodell zur Optimierung der Netzwerkverbindung;","Apparaatinformatie, zoals besturingssysteemversie, apparaatmodel om de netwerkverbinding te optimaliseren;","Informations sur l'appareil, telles que la version du système d'exploitation, le modèle de l'appareil pour optimiser la connexion réseau ;","Informacje o urządzeniu, takie jak wersja systemu operacyjnego, model urządzenia w celu optymalizacji połączenia sieciowego;"
welcome_activity_privacy3,Privacy policy,"Crash reports to improve app stability, this is anonymous aggregated data like build version, crash date, and time;","Отчеты о сбоях для повышения стабильности приложения, это анонимные агрегированные данные, такие как версия сборки, дата и время сбоя;","Informes de fallos para mejorar la estabilidad de la aplicación; se trata de datos agregados anónimos, como la versión de compilación, la fecha y la hora del fallo;","Rapporti sugli arresti anomali per migliorare la stabilità dell'app, si tratta di dati aggregati anonimi come versione di build, data e ora dell'arresto anomalo;","Absturzberichte zur Verbesserung der App-Stabilität. Hierbei handelt es sich um anonyme aggregierte Daten wie Build-Version, Absturzdatum und -uhrzeit.","Crashrapporten om de app-stabiliteit te verbeteren. Dit zijn anonieme verzamelde gegevens zoals buildversie, crashdatum en tijd;","Rapports de crash pour améliorer la stabilité de l'application. Il s'agit de données agrégées anonymes telles que la version de build, la date et l'heure du crash ;","Raporty o awariach w celu poprawy stabilności aplikacji. Są to anonimowe dane zagregowane, takie jak wersja kompilacji, data i godzina awarii;"
welcome_activity_privacy4,Privacy policy,An optional email address if you want to use the paid plan.,"Необязательный адрес электронной почты, если вы хотите использовать платный тариф.",Una dirección de correo electrónico opcional si desea utilizar el plan pago.,Un indirizzo email opzionale se desideri utilizzare il piano a pagamento.,"Eine optionale E-Mail-Adresse, wenn Sie den kostenpflichtigen Plan nutzen möchten.",Een optioneel e-mailadres als u het betaalde abonnement wilt gebruiken.,Une adresse email facultative si vous souhaitez utiliser le forfait payant.,"Opcjonalny adres e-mail, jeśli chcesz korzystać z płatnego planu."
welcome_activity_privacy5,Privacy policy,Please read our Privacy Policy and Cookie Policy for more detailed information on the data we collect and how it's used.,Ознакомитесь с нашей Политикой Конфиденциальности и Политикой cookie для получения более подробной информации о данных и способах их использования.,Lea nuestra Política de privacidad y Política de cookies para obtener información más detallada sobre los datos que recopilamos y cómo se utilizan.,Si prega di leggere la nostra Informativa sulla privacy e la Politica sui cookie per informazioni più dettagliate sui dati che raccogliamo e su come vengono utilizzati.,Bitte lesen Sie unsere Datenschutzrichtlinie und Cookie-Richtlinie für detailliertere Informationen zu den von uns erfassten Daten und deren Verwendung.,Lees ons Privacybeleid en Cookiebeleid voor meer gedetailleerde informatie over de gegevens die we verzamelen en hoe deze worden gebruikt.,Veuillez lire notre politique de confidentialité et notre politique en matière de cookies pour des informations plus détaillées sur les données que nous collectons et comment elles sont utilisées.,"Prosimy zapoznać się z naszą Polityką prywatności i Polityką dotyczącą plików cookie, aby uzyskać bardziej szczegółowe informacje na temat gromadzonych przez nas danych i sposobu ich wykorzystania."
welcome_activity_privacy5_link,Privacy policy,Privacy Policy,Политикой Конфиденциальности,Política de privacidad,Informativa sulla privacy,Datenschutzrichtlinie,Privacybeleid,Politique de confidentialité,Polityka prywatności
welcome_activity_privacy5_link2,Privacy policy,Cookie Policy,Политикой cookie,Política de cookies,Politica sui cookie,Cookie-Richtlinie,Cookiebeleid,Politique en matière de cookies,Polityka plików cookie
main_activity_connect,Main Activity,Connect,Подключиться,Conectar,Connettiti,Verbinden,Verbinden,Se connecter,Połącz
main_activity_preparing,Main Activity,Preparing…,Подготовка…,Preparando…,Preparazione…,Vorbereiten…,Voorbereiden…,Préparation…,Przygotowanie…
main_activity_preparing_complete,Main Activity,Preparation complete,Подготовка завершена,Preparación completa,Preparazione completata,Vorbereitung abgeschlossen,Voorbereiding voltooid,Préparation terminée,Przygotowanie zakończone
main_activity_preparing_skipped,Main Activity,Preparation skipped,Подготовка пропущена,Preparación omitida,La preparazione è saltata,Vorbereitung übersprungen,Voorbereiding overgeslagen,Préparation ignorée,Przygotowanie pominięte
main_activity_preparing_failed,Main Activity,Preparation failed,Подготовка провалена,La preparación falló,La preparazione è fallita,Die Vorbereitung ist fehlgeschlagen,De voorbereiding is mislukt,La préparation a échoué,Przygotowanie nie powiodło się
main_activity_connection,Main Activity,Connecting…,Подключение…,Conectando…,Connessione…,Verbinden…,Verbinden…,Connexion…,Łączę…
main_activity_connected,Main Activity,Connected,Подключено,Conectado,Connesso,Verbunden,Verbonden,Connecté,Połączono
main_activity_cancel,Main Activity,Cancel,Отмена,Cancelar,Annulla,Abbrechen,Annuleer,Annuler,Anuluj
main_activity_speed,Main Activity,up to %s Mb,до %s Mb,hasta %s Mb,fino a %s Mb,bis zu %s Mb,tot %s Mb,jusqu'à %s Mo,do %s Mb
main_activity_unsafe_connection,Main Activity,Not connected,Не подключено,No conectado,Non connesso,Nicht verbunden,Niet verbonden,Non connecté,Nie podłączony
main_activity_safe_connection,Main Activity,Connection secured,Соединение защищено,Conexión asegurada,Connessione protetta,Verbindung gesichert,Verbinding beveiligd,Connexion sécurisée,Połączenie zabezpieczone
main_activity_to_premium_offer,Main Activity,Go to %s,Перейти на %s,Ir a %s,Vai a %s,Gehen Sie zu %s,Ga naar %s,Aller à %s,Przejdź do %s
main_activity_timer_example,Main Activity,0:12:01,0:12:01,0:12:01,0:12:01,0:12:01,0:12:01,0:12:01,0:12:01
main_activity_bad_connection,Main Activity,Poor connection detected,Обнаруженно плохое соединение,Mala conexión detectada,Rilevata connessione scadente,Schlechte Verbindung erkannt,Slechte verbinding gedetecteerd,Mauvaise connexion détectée,Wykryto słabe połączenie
routing_activity_title,Routing Activity,Routing,Исключения,Enrutamiento,Instradamento,Routenführung,Routering,Routage,Trasowanie
routing_activity_desc,Routing Activity,"Routing — services and websites that should be accessed outside the VPN tunnel, even when the VPN is enabled. This is useful if your real IP address is required.
Changes are applied after restart.","Исключения — сервисы и сайты, к которым необходимо подключаться без VPN, даже когда он включён: это полезно, если требуется ваш настоящий IP-адрес.
Изменения применятся после перезапуска.","Enrutamiento: servicios y sitios web a los que se debe acceder fuera del túnel VPN, incluso cuando la VPN está habilitada. Esto es útil si se requiere su dirección IP real.
Los cambios se aplican después del reinicio.","Routing: servizi e siti Web a cui è necessario accedere all'esterno del tunnel VPN, anche quando la VPN è abilitata. Ciò è utile se è richiesto il tuo indirizzo IP reale.
Le modifiche vengono applicate dopo il riavvio.","Routing – Dienste und Websites, auf die außerhalb des VPN-Tunnels zugegriffen werden sollte, auch wenn das VPN aktiviert ist. Dies ist nützlich, wenn Ihre echte IP-Adresse erforderlich ist.
Änderungen werden nach dem Neustart übernommen.","Routering: services en websites die toegankelijk moeten zijn buiten de VPN-tunnel, zelfs als de VPN is ingeschakeld. Dit is handig als uw echte IP-adres vereist is.
Wijzigingen worden toegepast na het opnieuw opstarten.","Routage : services et sites Web auxquels il convient d'accéder en dehors du tunnel VPN, même lorsque le VPN est activé. Ceci est utile si votre véritable adresse IP est requise. 
Les modifications sont appliquées après le redémarrage.","Routing — usługi i strony internetowe, do których należy uzyskać dostęp poza tunelem VPN, nawet jeśli VPN jest włączony. Jest to przydatne, jeśli wymagany jest Twój prawdziwy adres IP.
Zmiany zostaną zastosowane po ponownym uruchomieniu."
routing_activity_enabled,Routing Activity,Use exclusions,Использовать исключения,Usar exclusiones,Utilizza le esclusioni,Verwenden Sie Ausschlüsse,Gebruik uitsluitingen,Utiliser les exclusions,Stosuj wykluczenia
routing_activity_apps_button,Routing Activity,Apps,Приложения,Aplicaciones,App,Apps,Apps,Applications,Aplikacje
routing_activity_links_button,Routing Activity,Urls,Ссылки,URL,URL,URLs,URL's,URL,Adresy URL
routing_activity_remove,Routing Activity,Remove,Удалить,Quitar,Rimuovi,Entfernen,Verwijderen,Supprimer,Usuń
routing_activity_add,Routing Activity,Add,Добавить,Añadir,Aggiungi,Hinzufügen,Toevoegen,Ajouter,Dodaj
routing_activity_example,Routing Activity,google.com,mail.ru,google.com,google.com,google.com,google.com,google.com,google.com
routing_activity_input_hint,Routing Activity,URL-address,URL-адрес сайта,dirección URL,Indirizzo URL,URL-Adresse,URL-adres,Adresse URL,Adres URL
settings_activity_title,Settings Activity,Settings,Настройки,Configuración,Impostazioni,Einstellungen,Instellingen,Paramètres,Ustawienia
settings_activity_battery_success,Settings Activity,Permission granted for background use.,Разрешение на использование приложения в фоновом режиме уже получено.,Permiso concedido para uso en segundo plano.,Autorizzazione concessa per l'uso in background.,Erlaubnis zur Hintergrundnutzung erteilt.,Toestemming verleend voor achtergrondgebruik.,Autorisation accordée pour une utilisation en arrière-plan.,Zezwolenie udzielone na użycie w tle.
settings_activity_update_unavailable,Settings Activity,"The update is already out, but it may appear for you a little later.","Обновление уже вышло, но может появиться у вас чуть позже.","La actualización ya está disponible, pero es posible que aparezca un poco más tarde.","L'aggiornamento è già disponibile, ma potrebbe apparire un po' più tardi.","Das Update ist bereits verfügbar, erscheint aber möglicherweise etwas später für Sie.","De update is al uit, maar het kan zijn dat deze iets later voor je verschijnt.","La mise à jour est déjà disponible, mais elle pourrait apparaître un peu plus tard.","Aktualizacja jest już dostępna, ale może pojawić się nieco później."
settings_activity_update_unavailable_message,Settings Activity,"The update is already out, but it may appear for you a little later. Open Google Play or try again later.","Обновление уже вышло, но может появиться у вас чуть позже. Откройте Google Play или попробуйте позже.","La actualización ya está disponible, pero es posible que aparezca un poco más tarde. Abre Google Play o vuelve a intentarlo más tarde.","L'aggiornamento è già disponibile, ma potrebbe apparire un po' più tardi. Apri Google Play o riprova più tardi.","Das Update ist bereits verfügbar, erscheint aber möglicherweise etwas später für Sie. Öffnen Sie Google Play oder versuchen Sie es später noch einmal.","De update is al uit, maar het kan zijn dat deze iets later voor je verschijnt. Open Google Play of probeer het later opnieuw.","La mise à jour est déjà disponible, mais elle pourrait apparaître un peu plus tard. Ouvrez Google Play ou réessayez plus tard.","Aktualizacja jest już dostępna, ale może pojawić się nieco później. Otwórz Google Play lub spróbuj ponownie później."
settings_activity_update_unavailable_title,Settings Activity,Update not available yet.,Обновление пока недоступно.,Actualización aún no disponible.,Aggiornamento non ancora disponibile.,Update noch nicht verfügbar.,Update nog niet beschikbaar.,Mise à jour pas encore disponible.,Aktualizacja nie jest jeszcze dostępna.
settings_activity_update_unavailable_google_play,Settings Activity,Google Play,Открыть Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play
settings_activity_update_unavailable_exit,Settings Activity,Got it,Понятно,Lo tengo,Capito,Verstanden,Ik heb het,Je l'ai compris,Rozumiem
settings_activity_copied,Settings Activity,Copied,Скопировано,Copiado,Copiato,Kopiert,Gekopieerd,Copié,Skopiowano
user_activity_title,User Activity,Account details,Учётная запись,Detalles de la cuenta,Dettagli del conto,Kontodaten,Accountgegevens,Détails du compte,Szczegóły konta
user_activity_email,User Activity,Email,Почта,Correo electrónico,E-mail,E-Mail,E-mail,Courriel,E-mail
user_activity_tariff,User Activity,Current plan,Тариф,plan actual,Piano attuale,Aktueller Plan,Huidig abonnement,Forfait actuel,Aktualny plan
user_activity_prolong_date,User Activity,Renews on,Дата продления,Renueva el,Si rinnova,Verlängert sich am,Verlengt aan,Renouvelle le,Odnawia się
user_activity_expire_date,User Activity,Active until,Активен до,Activo hasta,Attivo fino al,Aktiv bis,Actief tot,Actif jusqu'à,Aktywny do
server_activity_title,Servers Activity,Locations,Локации,Ubicaciones,Posizioni,Standorte,Locaties,Emplacements,Lokalizacje
server_activity_connected_server,Servers Activity,Fast connect,Быстрое подключение,Conexión rápida,Connessione veloce,Schnelle Verbindung,Snel verbinden,Connexion rapide,Szybkie połączenie
server_activity_selected_server,Servers Activity,Selected location,Выбранная локация,Ubicación seleccionada,Località selezionata,Ausgewählter Ort,Geselecteerde locatie,Emplacement sélectionné,Wybrana lokalizacja
server_activity_fastest_server,Servers Activity,Fastest server,Самый быстрый сервер,Servidor más rápido,Server più veloce,Schnellster Server,Snelste server,Serveur le plus rapide,Najszybszy serwer
server_activity_available_server,Servers Activity,Available locations,Доступные локации,Ubicaciones disponibles,Posizioni disponibili,Verfügbare Standorte,Beschikbare locaties,Emplacements disponibles,Dostępne lokalizacje
server_activity_other_server,Servers Activity,All locations,Все локации,Todas las ubicaciones,Tutte le località,Alle Standorte,Alle locaties,Tous les emplacements,Wszystkie lokalizacje
server_activity_country_sample,Servers Activity,Russia,Россия,Rusia,Russia,Russland,Rusland,Russie,Rosja
server_activity_offer_title,Servers Activity,All locations with %s,Все локации на %s,Todas las ubicaciones con %s,Tutte le località con %s,Alle Standorte mit %s,Alle locaties met %s,Tous les emplacements avec %s,Wszystkie lokalizacje z %s
server_activity_offer_description,Servers Activity,"Unlimited access to locations
around the world","Доступ к локациям по всему
миру без ограничений","Acceso ilimitado a ubicaciones
en todo el mundo","Accesso illimitato alle località
in tutto il mondo","Unbegrenzter Zugriff auf Standorte
auf der ganzen Welt","Onbeperkte toegang tot locaties
 over de hele wereld","Accès illimité aux emplacements
dans le monde entier","Nieograniczony dostęp do lokalizacji
ana całym świecie"
server_activity_offer_button,Servers Activity,Upgrade,Перейти,Actualizar,Aggiorna,Upgrade,Upgraden,Mise à niveau,Uaktualnij
tariff_activity_title,Tariff Activity,EasyLight,EasyLight,EasyLight,EasyLight,EasyLight,EasyLight,EasyLight,EasyLight
tariff_offer_title,Tariff Activity,Personal offer,Персональное предложение,oferta personal,Offerta personale,Persönliches Angebot,Persoonlijk aanbod,Offre personnelle,Oferta osobista
tariff_offer_subtitle,Tariff Activity,"More than 1 million users choose us
for fast and unrestricted internet","Больше 1 млн пользователей выбирают нас
для быстрого и свободного интернета","Más de 1 millón de usuarios nos eligen
para Internet rápido y sin restricciones","Più di 1 milione di utenti ci scelgono
per Internet veloce e senza restrizioni","Mehr als 1 Million Nutzer entscheiden sich für uns
für schnelles und uneingeschränktes Internet","Ruim 1 miljoen gebruikers kiezen voor ons
voor snel en onbeperkt internet","Plus d'un million d'utilisateurs nous choisissent
pour un accès Internet rapide et sans restriction","Ponad 1 milion użytkowników wybiera nas
, aby uzyskać szybki i nieograniczony internet"
tariff_offer_time_left,Tariff Activity,Offer ends in:,До конца акции:,La oferta termina en:,L'offerta termina tra:,Das Angebot endet am:,Aanbieding eindigt over:,L'offre se termine dans :,Oferta kończy się za:
tariff_offer_timer_hours,Tariff Activity,HOURS,ЧАСЫ,HORAS,ORE,STUNDEN,UREN,HEURES,GODZINY
tariff_offer_timer_minutes,Tariff Activity,MINUTES,МИНУТЫ,MINUTOS,MINUTI,MINUTEN,MINUTEN,PROCÈS-VERBAL,MINUT
tariff_offer_timer_seconds,Tariff Activity,SECONDS,СЕКУНДЫ,SEGUNDOS,SECONDI,SEKUNDEN,SECONDEN,SECONDES,SEKUND
tariff_subscription_from_date,Tariff Activity,from %s,с %s,de %s,da %s,von %s,van %s,à partir de %s,z %s
tariff_subscription_starts_date,Tariff Activity,Starts %s,с %s,Inicia %s,Avvia %s,Startet %s,Start %s,Démarre %s,Rozpoczyna się od %s
tariff_subscription_expires_date,Tariff Activity,Expires %s,Истекает %s,Vence %s,Scade %s,Läuft ab %s,Verloopt op %s,Expire %s,Wygasa %s
tariff_state_start_regular,Tariff Activity,Your remaining Start days will roll over to your Gold plan. Auto-renewing subscription. Cancel anytime in Google Play settings.,Оставшиеся дни тарифа Старт будут добавлены к Gold. Это автоматически продлеваемая подписка. Отмена в любой момент в настройках Google Play.,Los días de inicio restantes se transferirán a su plan Gold. Suscripción de renovación automática. Cancela en cualquier momento en la configuración de Google Play.,I giorni di inizio rimanenti verranno trasferiti al tuo piano Gold. Abbonamento con rinnovo automatico. Annulla in qualsiasi momento nelle impostazioni di Google Play.,Ihre verbleibenden Starttage werden auf Ihren Gold-Plan übertragen. Abonnement mit automatischer Verlängerung. In den Google Play-Einstellungen können Sie jederzeit kündigen.,Uw resterende Startdagen worden meegenomen naar uw Gold-abonnement. Abonnement automatisch verlengen. Je kunt op elk gewenst moment opzeggen via de Google Play-instellingen.,Vos jours de démarrage restants seront transférés sur votre forfait Gold. Abonnement à renouvellement automatique. Annulez à tout moment dans les paramètres de Google Play.,Pozostałe dni Start zostaną przeniesione do Twojego planu Gold. Automatyczne odnawianie subskrypcji. Anuluj w dowolnym momencie w ustawieniach Google Play.
tariff_state_start_discount,Tariff Activity,"%1$s for your first month, then %2$s/mo. Any remaining Start days will roll over to Gold. Cancel anytime in Google Play settings.","%1$s за первый месяц, затем %2$s в месяц. Оставшиеся дни Старт будут добавлены к Gold. Отмена в любой момент в настройках Google Play.","%1$s durante el primer mes, luego %2$s/mes. Cualquier día de inicio restante se transferirá a Gold. Cancela en cualquier momento en la configuración de Google Play.","%1$s per il primo mese, poi %2$s/mese. Eventuali giorni di inizio rimanenti verranno trasferiti al livello Gold. Annulla in qualsiasi momento nelle impostazioni di Google Play.","%1$s für Ihren ersten Monat, dann %2$s/Monat. Alle verbleibenden Starttage werden auf Gold übertragen. In den Google Play-Einstellungen können Sie jederzeit kündigen.","%1$s voor uw eerste maand, daarna %2$s/maand. Eventuele resterende Startdagen worden overgedragen naar Gold. Je kunt op elk gewenst moment opzeggen via de Google Play-instellingen.","%1$s pour votre premier mois, puis %2$s/mois. Tous les jours de début restants seront transférés vers Gold. Annulez à tout moment dans les paramètres de Google Play.","%1$s przez pierwszy miesiąc, następnie %2$s/mies. Wszelkie pozostałe dni Startu zostaną przeniesione do planu Gold. Anuluj w dowolnym momencie w ustawieniach Google Play."
tariff_state_basic_regular,Tariff Activity,Auto-renewing subscription. Cancel anytime in Google Play settings.,Это автоматически продлеваемая подписка. Отмена в любой момент в настройках Google Play.,Suscripción de renovación automática. Cancela en cualquier momento en la configuración de Google Play.,Abbonamento con rinnovo automatico. Annulla in qualsiasi momento nelle impostazioni di Google Play.,Abonnement mit automatischer Verlängerung. In den Google Play-Einstellungen können Sie jederzeit kündigen.,Abonnement automatisch verlengen. Je kunt op elk gewenst moment opzeggen via de Google Play-instellingen.,Abonnement à renouvellement automatique. Annulez à tout moment dans les paramètres de Google Play.,Automatyczne odnawianie subskrypcji. Anuluj w dowolnym momencie w ustawieniach Google Play.
tariff_state_basic_discount,Tariff Activity,"%1$s for your first month, then %2$s/mo. Cancel anytime in Google Play settings.","%1$s за первый месяц, затем %2$s в месяц. Отмена в любой момент в настройках Google Play.","%1$s durante el primer mes, luego %2$s/mes. Cancela en cualquier momento en la configuración de Google Play.","%1$s per il primo mese, poi %2$s/mese. Annulla in qualsiasi momento nelle impostazioni di Google Play.","%1$s für Ihren ersten Monat, dann %2$s/Monat. In den Google Play-Einstellungen können Sie jederzeit kündigen.","%1$s voor uw eerste maand, daarna %2$s/maand. Je kunt op elk gewenst moment opzeggen via de Google Play-instellingen.","%1$s pour votre premier mois, puis %2$s/mois. Annulez à tout moment dans les paramètres de Google Play.","%1$s przez pierwszy miesiąc, następnie %2$s/mies. Anuluj w dowolnym momencie w ustawieniach Google Play."
tariff_state_gold_external,Tariff Activity,Your remaining paid time is safe. Resubscribe now to keep Gold. Cancel anytime in Google Play settings.,"Ваши текущие оплаченные дни будут сохранены. Оформите подписку, чтобы сохранить Gold. Отмена в любой момент в настройках Google Play.",El tiempo pagado restante está seguro. Vuelve a suscribirte ahora para conservar Gold. Cancela en cualquier momento en la configuración de Google Play.,Il tuo tempo retribuito rimanente è al sicuro. Abbonati nuovamente ora per mantenere Gold. Annulla in qualsiasi momento nelle impostazioni di Google Play.,"Ihre verbleibende bezahlte Zeit ist sicher. Melden Sie sich jetzt erneut an, um Gold zu behalten. In den Google Play-Einstellungen können Sie jederzeit kündigen.",Uw resterende betaalde tijd is veilig. Schrijf u nu opnieuw in om Gold te behouden. Je kunt op elk gewenst moment opzeggen via de Google Play-instellingen.,Votre temps payé restant est en sécurité. Réabonnez-vous maintenant pour conserver Gold. Annulez à tout moment dans les paramètres de Google Play.,"Pozostały płatny czas jest bezpieczny. Zarejestruj się ponownie, aby zachować Gold. Anuluj w dowolnym momencie w ustawieniach Google Play."
tariff_state_gold_subscribed,Tariff Activity,Auto-renewal is active. Cancel anytime in Google Play settings. Manage subscriptions.,Автопродление включено. Отмена в любой момент в настройках Google Play.,La renovación automática está activa. Cancela en cualquier momento en la configuración de Google Play. Gestionar suscripciones.,Il rinnovo automatico è attivo. Annulla in qualsiasi momento nelle impostazioni di Google Play. Gestisci gli abbonamenti.,Die automatische Verlängerung ist aktiv. In den Google Play-Einstellungen können Sie jederzeit kündigen. Abonnements verwalten.,Automatische verlenging is actief. Je kunt op elk gewenst moment opzeggen via de Google Play-instellingen. Beheer abonnementen.,Le renouvellement automatique est actif. Annulez à tout moment dans les paramètres de Google Play. Gérer les abonnements.,Automatyczne odnawianie jest aktywne. Anuluj w dowolnym momencie w ustawieniach Google Play. Zarządzaj subskrypcjami.
tariff_state_gold_was_subscribed,Tariff Activity,"Auto-renewal is off. Gold is active until %1$s. After that, you'll roll back to the Basic plan. Renew your subscription to keep Gold. Cancel anytime in Google Play settings.","Автопродление выключено. Gold действует до %1$s. После этой даты тариф изменится на Базовый. Возобновите подписку, чтобы сохранить Gold. Отмена в любой момент в настройках Google Play.","La renovación automática está desactivada. Gold está activo hasta %1$s. Después de eso, volverás al plan Básico. Renueva tu suscripción para conservar Gold. Cancela en cualquier momento en la configuración de Google Play.",Il rinnovo automatico è disattivato. Gold è attivo fino al %1$s. Successivamente tornerai al piano Basic. Rinnova il tuo abbonamento per mantenere Gold. Annulla in qualsiasi momento nelle impostazioni di Google Play.,"Die automatische Verlängerung ist deaktiviert. Gold ist bis %1$s aktiv. Danach kehren Sie zum Basisplan zurück. Erneuern Sie Ihr Abonnement, um Gold zu behalten. In den Google Play-Einstellungen können Sie jederzeit kündigen.",Automatische verlenging staat uit. Gold is actief tot %1$s. Daarna keert u terug naar het basisabonnement. Verleng uw abonnement om Gold te behouden. Je kunt op elk gewenst moment opzeggen via de Google Play-instellingen.,"Le renouvellement automatique est désactivé. Gold est actif jusqu'à %1$s. Après cela, vous reviendrez au forfait Basic. Renouvelez votre abonnement pour conserver Gold. Annulez à tout moment dans les paramètres de Google Play.","Automatyczne odnawianie jest wyłączone. Gold jest aktywny do %1$s. Następnie powrócisz do planu podstawowego. Odnów subskrypcję, aby zachować Gold. Anuluj w dowolnym momencie w ustawieniach Google Play."
tariff_activity_subtitle,Tariff Activity,Full access to features,Полный доступ к возможностям,Acceso completo a las funciones,Accesso completo alle funzionalità,Voller Zugriff auf Funktionen,Volledige toegang tot functies,Accès complet aux fonctionnalités,Pełny dostęp do funkcji
tariff_activity_go_purchase,Tariff Activity,Continue,Продолжить,Continuar,Continua,Weiter,Ga door,Continuer,Kontynuuj
tariff_activity_speed,Tariff Activity,Speeds up to %d Mbps,Скорость до %d Mb/s,Velocidades de hasta %d Mbps,Velocità fino a %d Mbps,Geschwindigkeiten bis zu %d Mbit/s,Snelheden tot %d Mbps,Vitesses allant jusqu'à %d Mbps,Prędkość do %d Mbps
tariff_activity_speed_description,Tariff Activity,"Fast downloads, instant connections, and seamless browsing","Быстрая загрузка, 
мгновенное подключение и стабильный интернет","Descargas rápidas, conexiones instantáneas y navegación fluida","Download veloci, connessioni istantanee e navigazione senza interruzioni","Schnelle Downloads, sofortige Verbindungen und nahtloses Surfen","Snelle downloads, directe verbindingen en naadloos browsen","Téléchargements rapides, connexions instantanées et navigation fluide","Szybkie pobieranie, natychmiastowe połączenia i płynne przeglądanie"
tariff_activity_4k,Tariff Activity,Buffer-free 4K streaming,YouTube и видеоконтент в 4K,Transmisión 4K sin búfer,Streaming 4K senza buffer,Pufferfreies 4K-Streaming,Buffervrije 4K-streaming,Streaming 4K sans tampon,Przesyłanie strumieniowe 4K bez buforowania
tariff_activity_4k_description,Tariff Activity,"Catch your favorite movies, shows, and streams in max resolution.","Смотрите любимые фильмы, 
шоу и стримы в наивысшем качестве","Vea sus películas, programas y transmisiones favoritas en máxima resolución.","Cattura i tuoi film, programmi e streaming preferiti con la massima risoluzione.","Erleben Sie Ihre Lieblingsfilme, -sendungen und -streams in maximaler Auflösung.","Bekijk uw favoriete films, programma's en streams in maximale resolutie.","Regardez vos films, émissions et flux préférés en résolution maximale.","Oglądaj ulubione filmy, programy i transmisje strumieniowe w maksymalnej rozdzielczości."
tariff_activity_servers,Tariff Activity,Dedicated premium servers,Выделенные серверы,Servidores premium dedicados,Server premium dedicati,Dedizierte Premium-Server,Toegewijde premium-servers,Serveurs premium dédiés,Dedykowane serwery premium
